,austingw.LAT_DD_WGS84,austingw.LON_DD_WGS84,austingw.PARAMETER,austingw.RESULT,austingw.SAMPLE_DATE,austingw.SITE_NAME,austingw.SITE_TYPE,austingw.WATERSHED,austingw.UNIT,header
5805,30.26408358,-97.76867081,Flow (Cubic feet per second),192.608,1/22/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5806,30.26408358,-97.76867081,Flow (Cubic feet per second),195.435,1/22/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5807,30.26363155,-97.77247219,Flow (Cubic feet per second),108.885,1/22/2010,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5808,30.26408358,-97.76867081,Flow (Cubic feet per second),191.915,1/22/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5809,30.26408358,-97.76867081,Flow (Cubic feet per second),240.205,3/23/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5810,30.26408358,-97.76867081,Flow (Cubic feet per second),256.278,3/23/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5812,30.26363155,-97.77247219,Flow (Cubic feet per second),146.714,3/23/2010,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5813,30.26408358,-97.76867081,Flow (Cubic feet per second),240.229,3/23/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5815,30.26408358,-97.76867081,Flow (Cubic feet per second),250.2,3/26/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5816,30.26408358,-97.76867081,Flow (Cubic feet per second),239.425,3/26/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5817,30.26397896,-97.76811596,Flow (Cubic feet per second),2.12,3/26/2010,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5819,30.26363155,-97.77247219,Flow (Cubic feet per second),149.682,3/26/2010,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5820,30.26408358,-97.76867081,Flow (Cubic feet per second),212.412,3/30/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5821,30.26408358,-97.76867081,Flow (Cubic feet per second),216.169,3/30/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5822,30.26397896,-97.76811596,Flow (Cubic feet per second),3.32,3/30/2010,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5825,30.26363155,-97.77247219,Flow (Cubic feet per second),108.61,3/30/2010,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5826,30.26408358,-97.76867081,Flow (Cubic feet per second),221.536,3/30/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5828,30.26408358,-97.76867081,Flow (Cubic feet per second),198.927,4/1/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5829,30.26397896,-97.76811596,Flow (Cubic feet per second),2.68,4/1/2010,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5831,30.26408358,-97.76867081,Flow (Cubic feet per second),193.912,4/1/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5832,30.26363155,-97.77247219,Flow (Cubic feet per second),95.342,4/1/2010,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5834,30.26397896,-97.76811596,Flow (Cubic feet per second),2.45,5/4/2010,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5836,30.26408358,-97.76867081,Flow (Cubic feet per second),94.181,5/4/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5838,30.26389528,-97.7708186,Flow (Cubic feet per second),21.559,5/4/2010,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5839,30.26367946,-97.77221814,Flow (Cubic feet per second),13.926,5/4/2010,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5843,30.26389528,-97.7708186,Flow (Cubic feet per second),30.428,5/7/2010,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5844,30.26367946,-97.77221814,Flow (Cubic feet per second),8.417,5/7/2010,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5845,30.26408358,-97.76867081,Flow (Cubic feet per second),79.6,8/5/2010,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5847,30.26408358,-97.76867081,Flow (Cubic feet per second),36.8,3/25/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5851,30.26408358,-97.76867081,Flow (Cubic feet per second),38.6,4/1/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5853,30.26389528,-97.7708186,Flow (Cubic feet per second),14,4/1/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5856,30.26408358,-97.76867081,Flow (Cubic feet per second),38.3,4/6/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5858,30.26408358,-97.76867081,Flow (Cubic feet per second),32.6,4/13/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5861,30.26389528,-97.7708186,Flow (Cubic feet per second),13.5,4/13/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5862,30.26408358,-97.76867081,Flow (Cubic feet per second),31.3,4/18/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5864,30.26408358,-97.76867081,Flow (Cubic feet per second),28.3,4/18/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5866,30.26389528,-97.7708186,Flow (Cubic feet per second),13.8,4/18/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5869,30.26408358,-97.76867081,Flow (Cubic feet per second),26.7,4/29/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5872,30.26397896,-97.76811596,Flow (Cubic feet per second),0.087,5/23/2011,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5876,30.26408358,-97.76867081,Flow (Cubic feet per second),26.9,5/23/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5878,30.26389528,-97.7708186,Flow (Cubic feet per second),6.72,5/23/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5879,30.26408358,-97.76867081,Flow (Cubic feet per second),27.2,5/23/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5880,30.26400706,-97.76938256,Flow (Cubic feet per second),11.4,5/23/2011,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5881,30.26400706,-97.76938256,Flow (Cubic feet per second),9,5/25/2011,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5882,30.26397896,-97.76811596,Flow (Cubic feet per second),0.053,5/25/2011,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5885,30.26408358,-97.76867081,Flow (Cubic feet per second),25.9,5/25/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5887,30.26389528,-97.7708186,Flow (Cubic feet per second),10.5,5/25/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5891,30.26408358,-97.76867081,Flow (Cubic feet per second),18.6527,7/21/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5893,30.26389528,-97.7708186,Flow (Cubic feet per second),3.5511,7/21/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5894,30.26408358,-97.76867081,Flow (Cubic feet per second),23.0388,7/21/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5895,30.26408358,-97.76867081,Flow (Cubic feet per second),21.7803,8/11/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5897,30.26389528,-97.7708186,Flow (Cubic feet per second),8.7848,8/11/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5899,30.26408358,-97.76867081,Flow (Cubic feet per second),19.57,8/24/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5900,30.26408358,-97.76867081,Flow (Cubic feet per second),18.97,8/26/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5901,30.26408358,-97.76867081,Flow (Cubic feet per second),20.6333,9/2/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5902,30.26408358,-97.76867081,Flow (Cubic feet per second),20.2511,9/2/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5904,30.26389528,-97.7708186,Flow (Cubic feet per second),9.3308,9/2/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5905,30.26408358,-97.76867081,Flow (Cubic feet per second),17.3316,9/2/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5906,30.26408358,-97.76867081,Flow (Cubic feet per second),19.5431,9/2/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5908,30.26408358,-97.76867081,Flow (Cubic feet per second),17.2057,10/20/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5909,30.26408358,-97.76867081,Flow (Cubic feet per second),15.4085,11/3/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5913,30.26408358,-97.76867081,Flow (Cubic feet per second),13.9,11/10/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5915,30.26389528,-97.7708186,Flow (Cubic feet per second),9.559,11/10/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5917,30.26408358,-97.76867081,Flow (Cubic feet per second),20.7933,11/18/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5919,30.26405122,-97.77013586,Flow (Cubic feet per second),9.3662,11/18/2011,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5923,30.26408358,-97.76867081,Flow (Cubic feet per second),20.2,12/20/2011,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5925,30.26389528,-97.7708186,Flow (Cubic feet per second),10.52,12/20/2011,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5928,30.26408358,-97.76867081,Flow (Cubic feet per second),23.1,1/6/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5930,30.26405122,-97.77013586,Flow (Cubic feet per second),10.18,1/6/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5931,30.26408358,-97.76867081,Flow (Cubic feet per second),45.57,2/11/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5932,30.26408358,-97.76867081,Flow (Cubic feet per second),73,4/13/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5934,30.26405122,-97.77013586,Flow (Cubic feet per second),14.05,4/13/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5935,30.26367946,-97.77221814,Flow (Cubic feet per second),4.3,4/13/2012,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5937,30.26408358,-97.76867081,Flow (Cubic feet per second),80.76,6/6/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5939,30.26408358,-97.76867081,Flow (Cubic feet per second),74.83,6/13/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5940,30.26408358,-97.76867081,Water temperature (Deg. Celsius),75.8,6/13/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5942,30.26405122,-97.77013586,Flow (Cubic feet per second),13.73,6/13/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5943,30.26367946,-97.77221814,Flow (Cubic feet per second),3.37,6/13/2012,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5945,30.26408358,-97.76867081,Flow (Cubic feet per second),75.19,6/18/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5946,30.26408358,-97.76867081,Water temperature (Deg. Celsius),76.3,6/18/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5947,30.26408358,-97.76867081,Flow (Cubic feet per second),71.99,6/20/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5948,30.26408358,-97.76867081,Water temperature (Deg. Celsius),76.1,6/20/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5949,30.26408358,-97.76867081,Flow (Cubic feet per second),57.83,6/29/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5950,30.26408358,-97.76867081,Water temperature (Deg. Celsius),76.7,6/29/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5952,30.26405122,-97.77013586,Flow (Cubic feet per second),12.04,6/29/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5955,30.26400706,-97.76938256,Flow (Cubic feet per second),27,8/6/2012,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5956,30.26405122,-97.77013586,Flow (Cubic feet per second),16.5,8/6/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5957,30.26367946,-97.77221814,Flow (Cubic feet per second),2.2,8/6/2012,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5958,30.26408358,-97.76867081,Flow (Cubic feet per second),65,8/6/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5959,30.26408358,-97.76867081,Water temperature (Deg. Celsius),74.2,8/6/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5961,30.26408358,-97.76867081,Flow (Cubic feet per second),42.94,9/14/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5962,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.5,9/14/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5964,30.26405122,-97.77013586,Flow (Cubic feet per second),14.75,9/14/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5965,30.26367946,-97.77221814,Flow (Cubic feet per second),1.12,9/14/2012,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5967,30.26408358,-97.76867081,Flow (Cubic feet per second),44.11,9/21/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5968,30.26408358,-97.76867081,Water temperature (Deg. Celsius),73.5,9/21/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5970,30.26389528,-97.7708186,Flow (Cubic feet per second),15.63,9/21/2012,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5972,30.26408358,-97.76867081,Flow (Cubic feet per second),39.61,9/28/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5973,30.26408358,-97.76867081,Water temperature (Deg. Celsius),73.1,9/28/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5975,30.26389528,-97.7708186,Flow (Cubic feet per second),13.24,9/28/2012,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5977,30.26408358,-97.76867081,Flow (Cubic feet per second),37.8,10/12/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5978,30.26408358,-97.76867081,Water temperature (Deg. Celsius),72.2,10/12/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5980,30.26405122,-97.77013586,Flow (Cubic feet per second),14.51,10/12/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5982,30.26408358,-97.76867081,Flow (Cubic feet per second),36.36,10/26/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5983,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.5,10/26/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5985,30.26405122,-97.77013586,Flow (Cubic feet per second),11.73,10/26/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5987,30.26408358,-97.76867081,Flow (Cubic feet per second),31.27,11/2/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5988,30.26408358,-97.76867081,Water temperature (Deg. Celsius),73.3,11/2/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
5990,30.26405122,-97.77013586,Flow (Cubic feet per second),3.38,11/2/2012,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5992,30.26408358,-97.76867081,Flow (Cubic feet per second),32.064,11/9/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5994,30.26408358,-97.76867081,Flow (Cubic feet per second),25.97,11/30/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5996,30.26408358,-97.76867081,Flow (Cubic feet per second),24.25,12/7/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5998,30.26408358,-97.76867081,Flow (Cubic feet per second),27.4,12/14/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5999,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.5,12/14/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6001,30.26408358,-97.76867081,Flow (Cubic feet per second),27.27,12/14/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6002,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.3,12/14/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6004,30.26408358,-97.76867081,Flow (Cubic feet per second),34.06,12/21/2012,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6006,30.26408358,-97.76867081,Flow (Cubic feet per second),31.11,1/11/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6007,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.6,1/11/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6010,30.26408358,-97.76867081,Flow (Cubic feet per second),28.17,1/18/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6011,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.6,1/18/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6013,30.26408358,-97.76867081,Flow (Cubic feet per second),27.8,1/25/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6014,30.26408358,-97.76867081,Water temperature (Deg. Celsius),72.9,1/25/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6016,30.26408358,-97.76867081,Flow (Cubic feet per second),22.99,2/1/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6017,30.26408358,-97.76867081,Water temperature (Deg. Celsius),72.4,2/1/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6018,30.26408358,-97.76867081,Flow (Cubic feet per second),24.93,2/1/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6019,30.26408358,-97.76867081,Water temperature (Deg. Celsius),72.5,2/1/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6021,30.26408358,-97.76867081,Flow (Cubic feet per second),20.71,2/15/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6022,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.8,2/15/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6024,30.26408358,-97.76867081,Flow (Cubic feet per second),23.17,2/22/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6025,30.26408358,-97.76867081,Water temperature (Deg. Celsius),72.2,2/22/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6027,30.26408358,-97.76867081,Flow (Cubic feet per second),21.88,3/12/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6028,30.26408358,-97.76867081,Water temperature (Deg. Celsius),72.7,3/12/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6030,30.26367946,-97.77221814,Flow (Cubic feet per second),0,3/22/2013,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6031,30.26408358,-97.76867081,Flow (Cubic feet per second),27.95,3/22/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6032,30.26408358,-97.76867081,Water temperature (Deg. Celsius),73.6,3/22/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6036,30.26408358,-97.76867081,Flow (Cubic feet per second),23.2,4/19/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6037,30.26408358,-97.76867081,Water temperature (Deg. Celsius),73.3,4/19/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6039,30.26408358,-97.76867081,Flow (Cubic feet per second),23.13,4/26/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6040,30.26408358,-97.76867081,Water temperature (Deg. Celsius),72.7,4/26/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6041,30.26408358,-97.76867081,Flow (Cubic feet per second),24.77,4/26/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6042,30.26408358,-97.76867081,Water temperature (Deg. Celsius),74.3,4/26/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6043,30.26408358,-97.76867081,Flow (Cubic feet per second),26.7,4/26/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6044,30.26408358,-97.76867081,Flow (Cubic feet per second),21.83,4/26/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6045,30.26408358,-97.76867081,Water temperature (Deg. Celsius),73.8,4/26/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6047,30.26408358,-97.76867081,Flow (Cubic feet per second),16.4,6/21/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6048,30.26408358,-97.76867081,Flow (Cubic feet per second),18,6/21/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6050,30.26408358,-97.76867081,Flow (Cubic feet per second),18.1,6/28/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6051,30.26408358,-97.76867081,Flow (Cubic feet per second),18.1,6/28/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6052,30.26408358,-97.76867081,Water temperature (Deg. Celsius),74.5,6/28/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6053,30.26408358,-97.76867081,Water temperature (Deg. Celsius),74.5,6/28/2013,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6057,30.26400706,-97.76938256,Flow (Cubic feet per second),8,6/28/2013,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
