,austingw.LAT_DD_WGS84,austingw.LON_DD_WGS84,austingw.PARAMETER,austingw.RESULT,austingw.SAMPLE_DATE,austingw.SITE_NAME,austingw.SITE_TYPE,austingw.WATERSHED,austingw.UNIT,header
3633,30.30338848,-97.88887425,Turbidity (NTU),0.3,4/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3654,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,6/24/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3658,30.30338848,-97.88887425,Conductivity (uS/cm),968,6/24/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3659,30.30338848,-97.88887425,Water temperature (Deg. Celsius),23.2,6/24/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3660,30.30338848,-97.88887425,pH (Standard units),7.12,6/24/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3661,30.30338848,-97.88887425,Turbidity (NTU),0.26,6/24/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3662,30.30338848,-97.88887425,Turbidity (NTU),0.52,6/24/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3706,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,7/15/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3710,30.30338848,-97.88887425,Conductivity (uS/cm),1072,7/15/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3711,30.30338848,-97.88887425,Water temperature (Deg. Celsius),23.3,7/15/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3712,30.30338848,-97.88887425,pH (Standard units),6.99,7/15/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3713,30.30338848,-97.88887425,Turbidity (NTU),0.8,7/15/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3789,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,8/23/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3792,30.30338848,-97.88887425,Flow (Cubic feet per second),0.173,8/23/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
3793,30.30338848,-97.88887425,Conductivity (uS/cm),1054,8/23/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3794,30.30338848,-97.88887425,Water temperature (Deg. Celsius),24.4,8/23/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3795,30.30338848,-97.88887425,pH (Standard units),6.96,8/23/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3796,30.30338848,-97.88887425,Turbidity (NTU),0.15,8/23/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3797,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,9/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3800,30.30338848,-97.88887425,Conductivity (uS/cm),715,9/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3801,30.30338848,-97.88887425,Water temperature (Deg. Celsius),24.7,9/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3802,30.30338848,-97.88887425,pH (Standard units),6.83,9/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3803,30.30338848,-97.88887425,Turbidity (NTU),0.43,9/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3837,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,10/27/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3840,30.30338848,-97.88887425,Flow (Cubic feet per second),0.0132,10/27/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
3841,30.30338848,-97.88887425,Conductivity (uS/cm),660,10/27/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3842,30.30338848,-97.88887425,Water temperature (Deg. Celsius),23.5,10/27/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3843,30.30338848,-97.88887425,pH (Standard units),7.15,10/27/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3844,30.30338848,-97.88887425,Turbidity (NTU),0.71,10/27/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3911,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,11/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
